timestamp,cash,market_value,realized_pnl,unrealized_pnl,equity,positions
2023-07-18,5041.94,0.0,41.94,0.0,5041.94,0
2023-07-19,5041.94,0.0,41.94,0.0,5041.94,0
2023-07-20,5041.94,0.0,41.94,0.0,5041.94,0
2023-07-21,5041.94,0.0,41.94,0.0,5041.94,0
2023-07-24,5041.94,0.0,41.94,0.0,5041.94,0
2023-07-25,5041.94,0.0,41.94,0.0,5041.94,0
2023-07-26,5041.94,0.0,41.94,0.0,5041.94,0
2023-07-27,5041.94,0.0,41.94,0.0,5041.94,0
2023-07-28,5041.94,0.0,41.94,0.0,5041.94,0
2023-07-31,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-01,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-02,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-03,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-04,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-07,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-08,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-09,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-10,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-11,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-14,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-15,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-16,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-17,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-18,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-21,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-22,5041.94,0.0,41.94,0.0,5041.94,0
2023-08-23,4830.06,211.66,41.94,-0.21,5041.72,1
2023-08-24,4830.06,232.81,41.94,20.94,5062.87,1
2023-08-25,4830.06,216.84,41.94,4.97,5046.9,1
2023-08-28,4830.06,148.09,41.94,-63.79,4978.15,1
2023-08-29,4830.06,192.85,41.94,-19.03,5022.91,1
2023-08-30,4830.06,152.22,41.94,-59.65,4982.28,1
2023-08-31,4830.06,264.11,41.94,52.23,5094.17,1
2023-09-01,4979.33,0.0,-20.67,0.0,4979.33,0
2023-09-05,4793.61,185.54,-20.67,-0.19,4979.15,1
2023-09-06,4793.61,175.36,-20.67,-10.37,4968.96,1
2023-09-07,4793.61,183.81,-20.67,-1.91,4977.42,1
2023-09-08,4793.61,195.3,-20.67,9.58,4988.91,1
2023-09-11,4959.27,0.0,-40.73,0.0,4959.27,0
2023-09-12,4959.27,0.0,-40.73,0.0,4959.27,0
2023-09-13,4959.27,0.0,-40.73,0.0,4959.27,0
2023-09-14,4959.27,0.0,-40.73,0.0,4959.27,0
2023-09-15,4959.27,0.0,-40.73,0.0,4959.27,0
2023-09-18,4959.27,0.0,-40.73,0.0,4959.27,0
2023-09-19,4959.27,0.0,-40.73,0.0,4959.27,0
2023-09-20,4744.69,214.37,-40.73,-0.21,4959.06,1
2023-09-21,5099.94,0.0,99.94,0.0,5099.94,0
2023-09-22,5099.94,0.0,99.94,0.0,5099.94,0
2023-09-25,5099.94,0.0,99.94,0.0,5099.94,0
2023-09-26,5099.94,0.0,99.94,0.0,5099.94,0
2023-09-27,5099.94,0.0,99.94,0.0,5099.94,0
2023-09-28,5099.94,0.0,99.94,0.0,5099.94,0
2023-09-29,5099.94,0.0,99.94,0.0,5099.94,0
2023-10-02,5099.94,0.0,99.94,0.0,5099.94,0
2023-10-03,5099.94,0.0,99.94,0.0,5099.94,0
2023-10-04,5099.94,0.0,99.94,0.0,5099.94,0
2023-10-05,5099.94,0.0,99.94,0.0,5099.94,0
2023-10-06,5356.42,-256.74,99.94,-0.26,5099.69,1
2023-10-09,5356.42,-198.91,99.94,57.57,5157.51,1
2023-10-10,5356.42,-205.57,99.94,50.91,5150.85,1
2023-10-11,5356.42,-200.63,99.94,55.85,5155.79,1
2023-10-12,5356.42,-193.13,99.94,63.35,5163.29,1
2023-10-13,5145.91,0.0,145.91,0.0,5145.91,0
2023-10-16,4924.11,221.58,145.91,-0.22,5145.69,1
2023-10-17,5107.31,0.0,107.31,0.0,5107.31,0
2023-10-18,5338.61,-231.54,107.31,-0.23,5107.08,1
2023-10-19,5338.61,-250.52,107.31,-19.22,5088.09,1
2023-10-20,5088.59,0.0,88.59,0.0,5088.59,0
2023-10-23,5332.09,-243.75,88.59,-0.24,5088.34,1
2023-10-24,5332.09,-311.54,88.59,-68.03,5020.55,1
2023-10-25,5332.09,-550.54,88.59,-307.03,4781.55,1
2023-10-26,5332.09,-378.29,88.59,-134.78,4953.8,1
2023-10-27,5332.09,-298.56,88.59,-55.06,5033.52,1
2023-10-30,5332.09,-228.28,88.59,15.22,5103.81,1
2023-10-31,5332.09,-202.65,88.59,40.85,5129.44,1
2023-11-01,5332.09,-281.59,88.59,-38.08,5050.5,1
2023-11-02,5332.09,-243.48,88.59,0.02,5088.61,1
2023-11-03,5332.09,-236.38,88.59,7.13,5095.71,1
2023-11-06,5332.09,-238.28,88.59,5.22,5093.81,1
2023-11-07,5332.09,-258.34,88.59,-14.84,5073.75,1
2023-11-08,5332.09,-267.68,88.59,-24.17,5064.41,1
2023-11-09,5332.09,-248.47,88.59,-4.97,5083.62,1
2023-11-10,5332.09,-280.42,88.59,-36.92,5051.67,1
2023-11-13,5332.09,-199.87,88.59,43.64,5132.22,1
2023-11-14,5332.09,-276.84,88.59,-33.34,5055.25,1
2023-11-15,5332.09,-268.6,88.59,-25.1,5063.49,1
2023-11-16,5332.09,-271.82,88.59,-28.32,5060.27,1
2023-11-17,5332.09,-401.57,88.59,-158.07,4930.52,1
2023-11-20,5332.09,-524.65,88.59,-281.15,4807.44,1
2023-11-21,5332.09,-284.23,88.59,-40.73,5047.86,1
2023-11-22,5098.87,0.0,98.87,0.0,5098.87,0
2023-11-24,5098.87,0.0,98.87,0.0,5098.87,0
2023-11-27,4876.86,221.79,98.87,-0.22,5098.65,1
2023-11-28,5081.18,0.0,81.18,0.0,5081.18,0
2023-11-29,5081.18,0.0,81.18,0.0,5081.18,0
2023-11-30,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-01,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-04,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-05,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-06,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-07,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-08,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-11,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-12,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-13,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-14,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-15,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-18,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-19,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-20,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-21,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-22,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-26,5081.18,0.0,81.18,0.0,5081.18,0
2023-12-27,5230.09,-149.05,81.18,-0.15,5081.03,1
2023-12-28,5230.09,-143.27,81.18,5.63,5086.82,1
2023-12-29,5042.97,0.0,42.97,0.0,5042.97,0
2024-01-02,5042.97,0.0,42.97,0.0,5042.97,0
