Date,Close BP,High BP,Low BP,Open BP,Volume BP,Close,Open,High,Low,Volume,ATR
2016-09-15,20.092729568481445,20.230227888002624,19.847623471856355,19.889470687340967,4693800,469.38,469.38,469.38,469.38,0.0,174.90285714285713
2016-09-16,19.91338348388672,19.979141763188956,19.763928495423,19.775885168160354,5594600,559.46,559.46,559.46,559.46,0.0,169.94
2016-09-19,19.99109649658203,20.27804977293466,19.979139825004598,20.27207257739691,4741200,474.12,474.12,474.12,474.12,0.0,151.62071428571429
2016-09-20,19.769906997680664,20.003056430207227,19.763929801168164,19.973165886640132,4759900,475.99,475.99,475.99,475.99,0.0,138.715
2016-09-21,20.092729568481445,20.140553980248626,19.853600668138927,19.91936122975823,6634800,663.48,663.48,663.48,663.48,0.0,149.65642857142856
2016-09-22,20.48130989074707,20.70250490780611,20.43946267789851,20.6666348908636,8461900,846.19,846.19,846.19,846.19,0.0,153.595
2016-09-23,20.301965713500977,20.54707181094216,20.21827128225309,20.349792405929605,5138000,513.8,513.8,513.8,513.8,0.0,154.65642857142862
2016-09-26,20.134572982788086,20.313918483935485,20.098702970357895,20.152506848752292,4579500,457.95,457.95,457.95,457.95,0.0,138.54500000000002
2016-09-27,20.092729568481445,20.218271214935278,19.91936122975823,20.015012333794797,4171900,417.19,417.19,417.19,417.19,0.0,140.1257142857143
2016-09-28,20.828048706054688,20.857939249688492,20.146534276993854,20.39761758012056,9765900,976.59,976.59,976.59,976.59,0.0,170.94857142857146
2016-09-29,20.959566116333008,21.10304161252304,20.83402220653936,21.06119440275912,9021700,902.17,902.17,902.17,902.17,0.0,174.39428571428576
2016-09-30,21.019350051879883,21.15684837130588,20.94163281724703,21.067176744116164,6133700,613.37,613.37,613.37,613.37,0.0,188.39642857142857
2016-10-03,21.204669952392578,21.25249435259911,21.04923552059261,21.126952736492594,4873800,487.38,487.38,487.38,487.38,0.0,177.06500000000003
2016-10-04,21.33020782470703,21.623138210874952,21.26444729052612,21.53346662103837,8148100,814.81,814.81,814.81,814.81,0.0,182.17428571428573
2016-10-05,21.539447784423828,21.65303501185206,21.372058961479073,21.533470589533664,5394500,539.45,539.45,539.45,539.45,0.0,187.7064285714286
2016-10-06,21.491622924804688,21.6470550741479,21.41988518514641,21.611187344569572,4422100,442.21,442.21,442.21,442.21,0.0,188.21785714285716
2016-10-07,21.623146057128906,21.754667173214965,21.473691072668235,21.557387779587962,4678800,467.88,467.88,467.88,467.88,0.0,183.9557142857143
2016-10-10,21.92205810546875,22.01771149387879,21.772603106831514,21.778582583858288,4331900,433.19,433.19,433.19,433.19,0.0,186.3
2016-10-11,21.389999389648438,21.81445333313713,21.294348278545854,21.784560508009395,7250600,725.06,725.06,725.06,725.06,0.0,193.75571428571428
2016-10-12,21.395977020263672,21.51554146894831,21.282389767787283,21.51554146894831,4944500,494.45,494.45,494.45,494.45,0.0,197.17714285714285
2016-10-13,21.33020782470703,21.455749418778996,21.09705849843017,21.395968358887945,4434700,443.47,443.47,443.47,443.47,0.0,177.07642857142858
2016-10-14,21.425859451293945,21.599227722230932,21.38998944611692,21.52748771187688,3255600,325.56,325.56,325.56,325.56,0.0,181.50928571428568
2016-10-17,21.222612380981445,21.330220175494233,21.156851808723346,21.258482405986566,3488100,348.81,348.81,348.81,348.81,0.0,180.25857142857143
2016-10-18,21.509559631347656,21.623144590854775,21.449778553817996,21.61716739530258,3642400,364.24,364.24,364.24,364.24,0.0,141.4035714285714
2016-10-19,21.55140495300293,21.75466379149332,21.539448282444468,21.593252159706683,3886400,388.64,388.64,388.64,388.64,0.0,137.83071428571427
2016-10-20,21.55140495300293,21.647056036968895,21.395972796746385,21.485644405182256,4003100,400.31,400.31,400.31,400.31,0.0,118.03571428571426
2016-10-21,21.670969009399414,21.682925679754458,21.46771017436705,21.557384061779032,4214900,421.49,421.49,421.49,421.49,0.0,110.5492857142857
2016-10-24,21.44379997253418,21.6709721815294,21.270433928263483,21.629124969412125,4502700,450.27,450.27,450.27,450.27,0.0,89.21714285714283
2016-10-25,21.545425415039062,21.67096702149842,21.47368539948959,21.545425415039062,4475800,447.58,447.58,447.58,447.58,0.0,69.74071428571428
2016-10-26,21.431848526000977,21.47967522608311,21.20467854211857,21.26445963671866,4280000,428.0,428.0,428.0,428.0,0.0,64.19357142857142
2016-10-27,21.521514892578125,21.670969857109917,21.431841001658338,21.485644880109852,4174300,417.43,417.43,417.43,417.43,0.0,63.114999999999995
2016-10-28,21.33020782470703,21.52150995295991,21.246513428659057,21.294337820471647,5057000,505.7,505.7,505.7,505.7,0.0,66.94214285714284
2016-10-31,21.252490997314453,21.32422872654933,21.109015538844698,21.174773793684246,5420500,542.05,542.05,542.05,542.05,0.0,48.69071428571427
2016-11-01,20.39164161682129,20.941634950552608,20.224252737946962,20.935657753665286,11938800,1193.88,1193.88,1193.88,1193.88,0.0,78.77785714285714
2016-11-02,20.331851959228516,20.624784687192005,20.182396997727125,20.52315640801189,7778000,777.8,777.8,777.8,777.8,0.0,104.8564285714286
2016-11-03,20.230228424072266,20.403596767389473,20.146533990885274,20.337836204027617,4876200,487.62,487.62,487.62,487.62,0.0,117.16142857142859
2016-11-04,20.050878524780273,20.230224025544494,20.020987988069862,20.074791866349308,6030000,603.0,603.0,603.0,603.0,0.0,123.74214285714288
2016-11-07,20.337833404541016,20.35576727189757,20.146531217731262,20.224248443779587,5863800,586.38,586.38,586.38,586.38,0.0,123.82714285714289
2016-11-08,20.37434959411621,20.496060631121388,20.276981228801063,20.3134952363361,4865100,486.51,486.51,486.51,486.51,0.0,129.21785714285716
2016-11-09,20.593421936035156,20.70904610475391,20.197861781746347,20.197861781746347,5588000,558.8,558.8,558.8,558.8,0.0,133.54785714285714
2016-11-10,20.654281616210938,20.879447828229072,20.59342726355156,20.86118966527546,5210400,521.04,521.04,521.04,521.04,0.0,134.73214285714286
2016-11-11,20.191781997680664,20.435204045149018,20.039643798374115,20.39260321361407,6598100,659.81,659.81,659.81,659.81,0.0,142.58857142857144
2016-11-14,20.070072174072266,20.082243509317962,19.79622293465624,19.930105300914036,5449600,544.96,544.96,544.96,544.96,0.0,150.6
2016-11-15,20.453454971313477,20.49605347116747,20.21611980885718,20.21611980885718,5679300,567.93,567.93,567.93,567.93,0.0,150.84214285714285
2016-11-16,20.264801025390625,20.398683339655967,20.17351952866383,20.240458364352573,4985700,498.57,498.57,498.57,498.57,0.0,155.04142857142855
2016-11-17,20.386512756347656,20.611676575592544,20.356085589656836,20.435198080208178,5382400,538.24,538.24,538.24,538.24,0.0,151.57
2016-11-18,20.471712112426758,20.569080449932162,20.246548267216312,20.295231275246874,6682800,668.28,668.28,668.28,668.28,0.0,158.26214285714286
