Date,Close CVX,High CVX,Low CVX,Open CVX,Volume CVX,Close,Open,High,Low,Volume,ATR
2022-08-03,136.19239807128906,140.22487657231332,135.30701204281056,139.65506255791325,8751400,875.14,875.14,875.14,875.14,0.0,242.5
2022-08-04,132.49302673339844,136.2625147682731,132.1336074771855,136.15732410839746,10640000,1064.0,1064.0,1064.0,1064.0,0.0,233.8592857142857
2022-08-05,134.68458557128906,135.88555683740532,130.6345847240377,131.17808762527662,7170200,717.02,717.02,717.02,717.02,0.0,252.27214285714288
2022-08-08,134.48300170898438,135.8592955658264,134.25507072065122,134.64078773823192,5966900,596.69,596.69,596.69,596.69,0.0,252.23714285714283
2022-08-09,136.23623657226562,138.3313688969752,135.52617276417604,136.7008465547497,5842200,584.22,584.22,584.22,584.22,0.0,243.8742857142857
2022-08-10,136.59564208984375,137.16544268971168,134.0621843309118,136.7534280862765,6145800,614.58,614.58,614.58,614.58,0.0,237.95428571428573
2022-08-11,139.92681884765625,141.27682826552976,138.17356959157243,138.60312047475585,7888600,788.86,788.86,788.86,788.86,0.0,244.44071428571428
2022-08-12,140.12843322753906,140.1810285579251,137.75277492068605,138.72582866151262,7244700,724.47,724.47,724.47,724.47,0.0,246.74428571428572
2022-08-15,137.4635009765625,138.32258933666057,134.50928036375103,136.0345986024229,8975200,897.52,897.52,897.52,897.52,0.0,258.4042857142857
2022-08-16,137.11285400390625,138.43655230654016,136.59564871111183,137.9894785854139,7218400,721.84,721.84,721.84,721.84,0.0,270.1657142857143
2022-08-17,138.2436981201172,139.68136194337106,136.32388808682055,137.3057167444249,6741100,674.11,674.11,674.11,674.11,0.0,271.06571428571425
2022-08-18,140.66749572753906,141.23363274797802,138.96023012826817,139.01330336490756,6477500,647.75,647.75,647.75,647.75,0.0,197.4528571428571
2022-08-19,139.49098205566406,141.3043940315632,139.4290542843712,140.17212005103283,6834200,683.42,683.42,683.42,683.42,0.0,134.81571428571425
2022-08-22,138.79214477539062,139.53521052220188,136.59836568393928,138.60638846201545,9147000,914.7,914.7,914.7,914.7,0.0,136.41071428571428
2022-08-23,143.29470825195312,143.60430658694463,140.39325475353996,140.73824423969978,10354800,1035.48,1035.48,1035.48,1035.48,0.0,124.87285714285714
2022-08-24,144.35623168945312,144.4977693165937,142.12706130418766,143.00281018712755,9468100,946.81,946.81,946.81,946.81,0.0,117.71642857142857
2022-08-25,145.62118530273438,145.8688693953958,143.84316445946394,145.00197507108078,8050700,805.07,805.07,805.07,805.07,0.0,103.05642857142857
2022-08-26,144.55084228515625,146.9569279510148,143.71048455944023,145.23196680619068,7765800,776.58,776.58,776.58,776.58,0.0,96.49642857142855
