Date,Close GLD,High GLD,Low GLD,Open GLD,Volume GLD,Close,Open,High,Low,Volume,ATR
2022-12-23,167.25999450683594,167.8000030517578,166.66000366210938,166.8800048828125,2912300,291.23,291.23,291.23,291.23,0.0,228.56071428571428
2022-12-27,168.6699981689453,170.61000061035156,167.8000030517578,167.88999938964844,6885700,688.57,688.57,688.57,688.57,0.0,243.81071428571428
2022-12-28,167.91000366210938,168.33999633789062,167.10000610351562,168.0500030517578,3662500,366.25,366.25,366.25,366.25,0.0,259.59857142857146
2022-12-29,168.85000610351562,169.35000610351562,168.52000427246094,168.5399932861328,3345900,334.59,334.59,334.59,334.59,0.0,251.9114285714286
2022-12-30,169.63999938964844,169.89999389648438,168.8000030517578,169.25999450683594,2864500,286.45,286.45,286.45,286.45,0.0,239.54000000000002
2023-01-03,171.05999755859375,172.08999633789062,170.02000427246094,171.32000732421875,7992900,799.29,799.29,799.29,799.29,0.0,262.40785714285715
2023-01-04,172.6699981689453,173.08999633789062,171.85000610351562,172.86000061035156,7574600,757.46,757.46,757.46,757.46,0.0,242.21142857142857
2023-01-05,170.52000427246094,171.0,169.7899932861328,170.82000732421875,4692600,469.26,469.26,469.26,469.26,0.0,254.8885714285714
2023-01-06,173.7100067138672,173.9600067138672,171.22999572753906,171.75999450683594,7889000,788.9,788.9,788.9,788.9,0.0,258.2914285714286
2023-01-09,174.10000610351562,175.0399932861328,173.8800048828125,174.50999450683594,5134500,513.45,513.45,513.45,513.45,0.0,256.60214285714284
2023-01-10,174.74000549316406,174.97999572753906,174.05999755859375,174.61000061035156,4398400,439.84,439.84,439.84,439.84,0.0,251.635
2023-01-11,174.6199951171875,174.7899932861328,173.72000122070312,174.75999450683594,3374200,337.42,337.42,337.42,337.42,0.0,231.3607142857143
2023-01-12,176.63999938964844,176.7100067138672,174.8800048828125,176.00999450683594,6936900,693.69,693.69,693.69,693.69,0.0,229.57285714285717
2023-01-13,178.75999450683594,178.8300018310547,176.88999938964844,176.9600067138672,7468800,746.88,746.88,746.88,746.88,0.0,221.35357142857143
2023-01-17,177.58999633789062,178.24000549316406,177.08999633789062,178.2100067138672,6610800,661.08,661.08,661.08,661.08,0.0,207.76500000000001
2023-01-18,177.0800018310547,179.17999267578125,176.89999389648438,178.9199981689453,5384700,538.47,538.47,538.47,538.47,0.0,188.14142857142858
2023-01-19,179.88999938964844,180.02999877929688,178.08999633789062,178.3699951171875,6678700,667.87,667.87,667.87,667.87,0.0,174.3614285714286
2023-01-20,179.2899932861328,179.66000366210938,178.64999389648438,179.05999755859375,5754800,575.48,575.48,575.48,575.48,0.0,178.6992857142857
2023-01-23,179.6300048828125,179.69000244140625,177.77999877929688,178.35000610351562,5265500,526.55,526.55,526.55,526.55,0.0,178.75571428571428
2023-01-24,180.27999877929688,180.32000732421875,178.35000610351562,179.55999755859375,4604600,460.46,460.46,460.46,460.46,0.0,146.845
2023-01-25,181.11000061035156,181.22000122070312,179.2899932861328,179.35000610351562,6925300,692.53,692.53,692.53,692.53,0.0,160.43357142857144
2023-01-26,179.47000122070312,180.27000427246094,178.4600067138672,180.14999389648438,5860100,586.01,586.01,586.01,586.01,0.0,147.4564285714286
2023-01-27,179.22000122070312,179.72000122070312,178.25999450683594,179.27000427246094,6052700,605.27,605.27,605.27,605.27,0.0,126.0007142857143
2023-01-30,178.75999450683594,179.42999267578125,178.64999389648438,179.2899932861328,4210700,421.07,421.07,421.07,421.07,0.0,119.48285714285716
2023-01-31,179.41000366210938,179.6999969482422,178.5399932861328,178.82000732421875,5976900,597.69,597.69,597.69,597.69,0.0,126.84071428571428
