Date,Close LDOS,High LDOS,Low LDOS,Open LDOS,Volume LDOS,Close,Open,High,Low,Volume,ATR
2019-07-12,75.70198059082031,75.72953083951221,74.86625234489607,75.42646409055007,686700,686.7,686.7,686.7,686.7,0.0,321.2142857142857
2019-07-15,75.61932373046875,75.99586248483665,75.35299998552041,75.99586248483665,438200,438.2,438.2,438.2,438.2,0.0,293.0785714285715
2019-07-16,75.34379577636719,75.91319314104253,75.07746508998714,75.51828998629612,634600,634.6,634.6,634.6,634.6,0.0,300.3642857142857
2019-07-17,74.1774673461914,75.60095757197851,74.14073835275968,75.4080988264218,615400,615.4,615.4,615.4,615.4,0.0,292.66428571428565
2019-07-18,74.3519515991211,74.62746805954758,73.61725271577487,74.0856208891554,768000,768.0,768.0,768.0,768.0,0.0,276.3
2019-07-19,73.09378051757812,74.9121740023743,73.05705152381918,74.71931525509943,959700,959.7,959.7,959.7,959.7,0.0,212.37142857142857
2019-07-22,73.0845947265625,73.65398516171594,73.02030848366856,73.33255394724627,737100,737.1,737.1,737.1,737.1,0.0,161.95000000000002
2019-07-23,74.23257446289062,74.26012471115865,73.08460074055225,73.58052622940349,690600,690.6,690.6,690.6,690.6,0.0,138.0071428571429
2019-07-24,74.93971252441406,75.14175699185043,73.96623318859288,74.06725542231108,752100,752.1,752.1,752.1,752.1,0.0,131.05
2019-07-25,74.52645874023438,75.04074874837269,74.44380098511165,75.04074874837269,940100,940.1,940.1,940.1,940.1,0.0,132.35
2019-07-26,75.70198059082031,75.7570810882041,74.6091073482042,74.6091073482042,951700,951.7,951.7,951.7,951.7,0.0,129.17857142857142
2019-07-29,76.51934051513672,77.4377195453264,75.51831073543444,75.83055624249447,1157800,1157.8,1157.8,1157.8,1157.8,0.0,124.83571428571429
2019-07-30,77.49282836914062,78.03467569862828,73.47033030722373,74.07646389546315,1467500,1467.5,1467.5,1467.5,1467.5,0.0,144.07142857142858
2019-07-31,75.39892578125,77.84181765000511,74.53565415661079,77.50201484675426,1715900,1715.9,1715.9,1715.9,1715.9,0.0,155.20000000000002
2019-08-01,76.60197448730469,78.49383245995925,75.67440999294182,75.74788197414702,1446000,1446.0,1446.0,1446.0,1446.0,0.0,169.47857142857146
