Date,Close NEM,High NEM,Low NEM,Open NEM,Volume NEM,Close,Open,High,Low,Volume,ATR
2022-11-25,41.905723571777344,42.58206614129747,41.86002555047334,42.3809906637172,2673200,267.32,267.32,267.32,267.32,0.0,262.28571428571433
2022-11-28,40.50734329223633,41.92400285068954,40.41594725099502,41.86916662055895,9250700,925.07,925.07,925.07,925.07,0.0,274.3671428571429
2022-11-29,41.82345962524414,41.86916112640324,40.88206727515521,40.93690698462511,5953400,595.34,595.34,595.34,595.34,0.0,257.0621428571429
2022-11-30,43.3863639831543,43.395502192678315,41.412179505094755,42.20733622203298,13739100,1373.91,1373.91,1373.91,1373.91,0.0,290.7507142857143
2022-12-01,44.3917350769043,45.37882907459811,44.01700572293584,44.2546375261572,10497300,1049.73,1049.73,1049.73,1049.73,0.0,292.3935714285714
2022-12-02,44.483123779296875,44.55624339070559,43.13044234705042,43.496033431024046,8205500,820.55,820.55,820.55,820.55,0.0,272.87357142857144
2022-12-05,43.3863639831543,44.501410331465515,43.103030676412864,44.208938815200064,7320500,732.05,732.05,732.05,732.05,0.0,277.87357142857144
2022-12-06,43.066471099853516,44.236360657823866,42.7739995819948,43.93474744385585,5537500,553.75,553.75,553.75,553.75,0.0,272.54357142857145
2022-12-07,43.63983154296875,44.092969735940855,43.21443880848063,43.46412676856169,7350100,735.01,735.01,735.01,735.01,0.0,256.81357142857144
2022-12-08,43.57508850097656,44.0929601044352,43.46411727441817,43.94499729312011,4621500,462.15,462.15,462.15,462.15,0.0,270.6264285714286
2022-12-09,42.909263610839844,44.29641648367675,42.89076781587656,43.81553639776783,9182000,918.2,918.2,918.2,918.2,0.0,301.65000000000003
2022-12-12,42.909263610839844,42.97399712935526,41.929007644058714,42.74280498388244,6633600,663.36,663.36,663.36,663.36,0.0,308.04857142857145
2022-12-13,43.60283279418945,45.08246086800339,43.1774366362203,44.675564029632454,8143600,814.36,814.36,814.36,814.36,0.0,305.4857142857143
2022-12-14,43.565853118896484,44.00974166237509,42.881522742879945,43.575099253511375,7553900,755.39,755.39,755.39,755.39,0.0,309.5307142857143
2022-12-15,42.141700744628906,43.13120276872586,42.067721098193196,42.35439707873544,7637300,763.73,763.73,763.73,763.73,0.0,283.53785714285715
2022-12-16,42.6688232421875,43.0479782324339,41.84577974099743,41.97524678239196,11664700,1166.47,1166.47,1166.47,1166.47,0.0,265.3228571428572
2022-12-19,42.16944122314453,42.96474267936432,41.919756838249285,42.58558774415626,6277700,627.77,627.77,627.77,627.77,0.0,280.24928571428575
2022-12-20,44.037471771240234,44.41662668748561,42.84452317428532,42.90925668234832,6202500,620.25,620.25,620.25,620.25,0.0,225.17428571428573
2022-12-21,43.760047912597656,44.795787710514354,43.510359978439574,44.296415369910285,6265000,626.5,626.5,626.5,626.5,0.0,202.465
2022-12-22,43.92650604248047,43.93575217576979,42.955499772347,43.39938825218766,4673600,467.36,467.36,467.36,467.36,0.0,197.46214285714288
2022-12-23,44.250179290771484,44.74030908296988,43.482623131816446,44.046732582940784,4600000,460.0,460.0,460.0,460.0,0.0,191.66642857142855
2022-12-27,45.082462310791016,45.42462565236492,44.370390175069524,44.444373344983724,5575300,557.53,557.53,557.53,557.53,0.0,185.89714285714288
2022-12-28,43.8062858581543,44.7865418052822,43.49186440550664,44.7403040826571,5282900,528.29,528.29,528.29,528.29,0.0,175.03857142857143
2022-12-29,43.79704284667969,44.25017749950326,43.6860715989267,44.009739208086394,3899700,389.97,389.97,389.97,389.97,0.0,165.42857142857147
2022-12-30,43.649078369140625,44.01898369034039,43.140456347670806,44.00973755658809,3921900,392.19,392.19,392.19,392.19,0.0,133.01214285714286
2023-01-03,45.85002136230469,45.98873451292961,44.49061061436809,44.638573424995,8431400,843.14,843.14,843.14,843.14,0.0,147.01999999999998
2023-01-04,47.63482666015625,47.95849777065502,46.534353350969404,46.79328741719876,11532000,1153.2,1153.2,1153.2,1153.2,0.0,158.3814285714286
2023-01-05,47.35739517211914,47.40363289268373,46.2569219007493,46.74704808861547,7037000,703.7,703.7,703.7,703.7,0.0,186.27642857142857
2023-01-06,48.72605514526367,49.28091840915125,47.55159862690396,48.37464562528493,7424900,742.49,742.49,742.49,742.49,0.0,188.45142857142858
2023-01-09,48.29141616821289,49.0959638415839,48.124957542313766,48.81853397432274,7561800,756.18,756.18,756.18,756.18,0.0,160.6621428571428
2023-01-10,49.15144729614258,49.22542694189806,48.291412306999874,48.541100225884385,4132300,413.23,413.23,413.23,413.23,0.0,146.68
2023-01-11,48.51335525512695,49.613832041286436,48.14344996724188,49.33639866573274,6124700,612.47,612.47,612.47,612.47,0.0,160.3742857142857
2023-01-12,49.38263702392578,49.558341760811736,48.65206909611122,49.539845968342945,6115600,611.56,611.56,611.56,611.56,0.0,159.99285714285716
2023-01-13,50.26115798950195,50.39062852069261,49.243914224125646,49.345639306205534,6547300,654.73,654.73,654.73,654.73,0.0,151.70928571428573
2023-01-17,48.522605895996094,49.82652938213463,48.30065989661184,49.67856655844912,7040800,704.08,704.08,704.08,704.08,0.0,154.70857142857145
2023-01-18,47.653324127197266,49.243927224635556,47.570094813314746,49.03123087309405,8275900,827.59,827.59,827.59,827.59,0.0,156.5642857142857
2023-01-19,48.522605895996094,48.89251119135387,47.05222379224736,47.50535839641024,6940000,694.0,694.0,694.0,694.0,0.0,164.01785714285714
2023-01-20,49.327152252197266,49.4381234851603,48.023228799818014,48.1434496933599,4858400,485.84,485.84,485.84,485.84,0.0,169.0064285714286
2023-01-23,49.595333099365234,49.69705819358237,48.45786832602319,48.80927779804934,4695400,469.54,469.54,469.54,469.54,0.0,170.01214285714286
2023-01-24,49.37338638305664,50.95473956675252,47.274161603657014,47.274161603657014,4508800,450.88,450.88,450.88,450.88,0.0,139.1342857142857
2023-01-25,50.945499420166016,51.24142507313327,48.96649529305551,49.05897073671576,6053700,605.37,605.37,605.37,605.37,0.0,128.02214285714288
2023-01-26,50.057716369628906,50.75129269581406,49.53984477610115,50.75129269581406,5633600,563.36,563.36,563.36,563.36,0.0,98.91571428571429
2023-01-27,49.308650970458984,49.992981140937495,49.21617554123474,49.992981140937495,5690200,569.02,569.02,569.02,569.02,0.0,96.54928571428572
