Date,Close GOOG,High GOOG,Low GOOG,Open GOOG,Volume GOOG,Close,Open,High,Low,Volume,ATR
2016-07-26,36.67005920410156,36.83244587698204,36.46396907177927,36.70084674735464,23734000,237.34,237.34,237.34,237.34,0.0,40.522857142857156
2016-07-27,36.836421966552734,36.970006417602576,36.599540491467984,36.66310847376177,30250000,302.5,302.5,302.5,302.5,0.0,43.63857142857144
2016-07-28,37.042015075683594,37.17808116846874,36.713759841845935,37.098130546411205,70604000,706.04,706.04,706.04,706.04,0.0,68.59142857142857
2016-07-29,38.17823791503906,38.662923893259396,38.077926440843925,38.37290870577862,76830000,768.3,768.3,768.3,768.3,0.0,66.41857142857143
2016-08-01,38.381343841552734,38.756276669775595,37.795850155515176,37.795850155515176,54010000,540.1,540.1,540.1,540.1,0.0,79.50285714285714
2016-08-02,38.29146194458008,38.52833961218786,38.13155692128572,38.1732712751886,35690000,356.9,356.9,356.9,356.9,0.0,86.86
2016-08-03,38.396244049072266,38.3977330355425,38.08040463397948,38.09828383793119,25748000,257.48,257.48,257.48,257.48,0.0,93.75714285714285
2016-08-04,38.318275451660156,38.4404367407963,38.17848123011575,38.348566662361506,22806000,228.06,228.06,228.06,228.06,0.0,91.15714285714284
2016-08-05,38.84517288208008,38.88589457958735,38.354530985402135,38.42604022607503,36024000,360.24,360.24,360.24,360.24,0.0,100.36714285714287
2016-08-08,38.822330474853516,38.86553381665672,38.64012474735568,38.83424615581213,22158000,221.58,221.58,221.58,221.58,0.0,109.3
2016-08-09,38.94647979736328,39.17888671796986,38.76323216328399,38.78955274621309,26378000,263.78,263.78,263.78,263.78,0.0,111.42571428571428
2016-08-10,38.96733474731445,39.07320812104908,38.872880724726265,38.92114964762131,15728000,157.28,157.28,157.28,157.28,0.0,115.26999999999998
2016-08-11,38.97578048706055,39.219114232730306,38.88241761962895,38.98322920864851,19502000,195.02,195.02,195.02,195.02,0.0,114.63
2016-08-12,38.89482879638672,38.9035202334631,38.75478830065121,38.80941477831785,14810000,148.1,148.1,148.1,148.1,0.0,114.73285714285714
2016-08-15,38.85609817504883,39.10688062520967,38.74038915074171,38.921151349487374,18764000,187.64,187.64,187.64,187.64,0.0,115.35285714285713
2016-08-16,38.5928955078125,38.78359185739724,38.40935235516045,38.74982255429288,20560000,205.6,205.6,205.6,205.6,0.0,111.98142857142855
2016-08-17,38.7304573059082,38.775153423823525,38.41362521600818,38.60183993582502,18484000,184.84,184.84,184.84,184.84,0.0,84.63999999999999
2016-08-18,38.610774993896484,38.87695500140873,38.58594339800672,38.73542172462235,14388000,143.88,143.88,143.88,143.88,0.0,83.11857142857141
2016-08-19,38.507484436035156,38.59091314817575,38.39376450892798,38.486627258000006,17230000,172.3,172.3,172.3,172.3,0.0,68.84857142857143
2016-08-22,38.345088958740234,38.46377973637733,38.240803082197274,38.400711881665835,19028000,190.28,190.28,190.28,190.28,0.0,57.04714285714285
2016-08-23,38.34161376953125,38.558130566945216,38.326962598768134,38.51045648323373,18564000,185.64,185.64,185.64,185.64,0.0,50.277142857142856
2016-08-24,38.2204475402832,38.46179597057056,38.09282282679001,38.267128974005914,21440000,214.4,214.4,214.4,214.4,0.0,50.230000000000004
2016-08-25,38.20902633666992,38.33218408450474,37.89988925062162,38.089342890649064,18538000,185.38,185.38,185.38,185.38,0.0,42.86142857142857
2016-08-26,38.215484619140625,38.54026176536381,38.032236973240195,38.188667705654225,23334000,233.34,233.34,233.34,233.34,0.0,36.38285714285714
2016-08-29,38.345088958740234,38.486125898043106,38.07022131945092,38.17574991234287,16952000,169.52,169.52,169.52,169.52,0.0,37.92714285714286
2016-08-30,38.19313430786133,38.460109977701684,38.081399695227226,38.2050537779148,22600000,226.0,226.0,226.0,226.0,0.0,34.354285714285716
2016-08-31,38.09183120727539,38.19313533915566,38.008898821056256,38.089842103032844,24972000,249.72,249.72,249.72,249.72,0.0,33.35285714285715
2016-09-01,38.177738189697266,38.28897646664073,37.95526163581033,38.201080799515,18502000,185.02,185.02,185.02,185.02,0.0,34.62285714285714
2016-09-02,38.310829162597656,38.43299045948683,38.15936552193957,38.387801804957256,21454000,214.54,214.54,214.54,214.54,0.0,33.90714285714286
2016-09-06,38.7389030456543,38.8342474403258,38.28798638412304,38.40965515209784,28856000,288.56,288.56,288.56,288.56,0.0,37.91142857142857
2016-09-07,38.7523078918457,38.8704985580356,38.54621777203807,38.734925017138885,17874000,178.74,178.74,178.74,178.74,0.0,44.27285714285714
2016-09-08,38.50251007080078,38.752303619859575,38.41610340191204,38.664900504688376,25406000,254.06,254.06,254.06,254.06,0.0,46.72714285714285
2016-09-09,37.7248420715332,38.39947422077342,37.7248420715332,38.243293549789996,37710000,377.1,377.1,377.1,377.1,0.0,53.48571428571428
