Date,Close SPG,High SPG,Low SPG,Open SPG,Volume SPG,Close,Open,High,Low,Volume,ATR
2016-06-22,128.9285888671875,129.49105825728077,128.40321314407225,129.18818794767841,1087900,108.79,108.79,108.79,108.79,0.0,23.575
2016-06-23,129.23764038085938,130.0720734306174,128.85442402715358,129.664127964896,730200,73.02,73.02,73.02,73.02,0.0,24.274285714285718
2016-06-24,127.63680267333984,129.0707896808072,125.47964459847371,126.45005968339869,1733900,173.39,173.39,173.39,173.39,0.0,31.409285714285716
2016-06-27,128.53306579589844,128.63196342288234,126.01741989249955,126.98164817710047,1760100,176.01,176.01,176.01,176.01,0.0,28.106428571428573
2016-06-28,131.71006774902344,131.79042324302694,128.56396153086567,129.31186180304695,1732000,173.2,173.2,173.2,173.2,0.0,25.94857142857143
2016-06-29,132.8473663330078,133.59526662919865,131.61117435552603,132.2107282191164,1575600,157.56,157.56,157.56,157.56,0.0,24.297857142857143
2016-06-30,134.0649871826172,134.23187570426464,132.2106996175387,133.3418161640039,2073000,207.3,207.3,207.3,207.3,0.0,27.807142857142857
2016-07-01,134.21334838867188,135.3321005006596,133.83013193432785,134.45440542146815,1047900,104.79,104.79,104.79,104.79,0.0,33.92214285714286
2016-07-05,136.12326049804688,136.13562505711738,134.3060570018821,134.33696368386083,1321800,132.18,132.18,132.18,132.18,0.0,34.03285714285715
2016-07-06,134.46055603027344,136.18504859190543,134.003171174882,135.7832806635233,1397200,139.72,139.72,139.72,139.72,0.0,34.545
2016-07-07,133.2553253173828,134.53478866950334,132.1921993555832,134.151562704689,1235700,123.57,123.57,123.57,123.57,0.0,32.71214285714286
2016-07-08,135.7091522216797,135.82659196721625,133.52727416097284,133.99702371172293,1152800,115.28,115.28,115.28,115.28,0.0,28.950714285714287
2016-07-11,137.05657958984375,137.3718050835975,134.97359012528423,135.8574721106871,998200,99.82,99.82,99.82,99.82,0.0,28.352857142857147
2016-07-12,136.88351440429688,137.11838441963422,135.47424715530067,136.8031589238056,1254200,125.42,125.42,125.42,125.42,0.0,30.012857142857143
2016-07-13,138.60179138183594,138.60796894390117,136.62387747943998,137.0750941577975,1194200,119.42,119.42,119.42,119.42,0.0,29.70642857142857
2016-07-14,137.32235717773438,138.59563315044855,136.90823408000463,138.59563315044855,1159700,115.97,115.97,115.97,115.97,0.0,27.397857142857145
2016-07-15,137.7982635498047,137.94660048890773,135.94397635987758,137.606655382535,1115200,111.52,111.52,111.52,111.52,0.0,20.546428571428574
2016-07-18,137.3903350830078,138.1196930388363,136.8031459532453,137.8662714946946,849000,84.9,84.9,84.9,84.9,0.0,22.260714285714283
2016-07-19,137.85394287109375,137.85394287109375,136.37669388608802,137.58816613215023,1077100,107.71,107.71,107.71,107.71,0.0,23.689285714285713
2016-07-20,137.9837188720703,138.1382428322441,137.09983691555146,138.10733615393053,751800,75.18,75.18,75.18,75.18,0.0,24.895714285714284
2016-07-21,138.57711791992188,138.66983797648902,136.5003150335276,137.67470306360434,663200,66.32,66.32,66.32,66.32,0.0,21.975714285714282
2016-07-22,139.25698852539062,139.7700091818381,138.1691338586514,138.38547116571257,967300,96.73,96.73,96.73,96.73,0.0,16.825714285714287
2016-07-25,138.7501220703125,139.94922925440446,138.5028875593499,139.59691960471312,800400,80.04,80.04,80.04,80.04,0.0,16.06142857142857
2016-07-26,138.76255798339844,139.13341937194846,138.13209739542216,138.76873554836206,920600,92.06,92.06,92.06,92.06,0.0,16.38142857142857
2016-07-27,137.03189086914062,139.19522701999298,135.39394012748267,139.1643203315585,1587600,158.76,158.76,158.76,158.76,0.0,19.992142857142856
2016-07-28,138.4967498779297,139.5351464406511,136.98240741020217,137.0998471377136,923600,92.36,92.36,92.36,92.36,0.0,24.142857142857142
2016-07-29,140.3324737548828,141.60575909305567,138.41019533726586,138.41019533726586,1260500,126.05,126.05,126.05,126.05,0.0,25.444999999999997
2016-08-01,140.6786651611328,141.21640570814745,139.8504092838654,140.22127068750137,921600,92.16,92.16,92.16,92.16,0.0,26.037142857142857
2016-08-02,138.21243286132812,140.6168256792024,137.96519825906577,140.04817854888256,1301900,130.19,130.19,130.19,130.19,0.0,28.324999999999996
2016-08-03,137.408935546875,137.45220679876212,136.19747253360106,137.3409446020506,1510600,151.06,151.06,151.06,151.06,0.0,29.569285714285712
2016-08-04,135.7461700439453,137.87860768223712,135.59164612414978,137.55719528827274,1036300,103.63,103.63,103.63,103.63,0.0,32.63928571428571
2016-08-05,135.80186462402344,136.59302668143198,135.03542225467328,136.0552767943559,1378700,137.87,137.87,137.87,137.87,0.0,33.183571428571426
2016-08-08,135.96255493164062,137.44598130876267,135.5298896909296,135.7894888353562,1147500,114.75,114.75,114.75,114.75,0.0,33.205714285714286
2016-08-09,136.37051391601562,136.82789888778385,134.9612558895484,135.98111044533005,881800,88.18,88.18,88.18,88.18,0.0,32.78
2016-08-10,135.35060119628906,136.73513903580923,134.96120729719934,135.90689301574818,1218800,121.88,121.88,121.88,121.88,0.0,34.55428571428571
2016-08-11,132.6125030517578,135.3877481470225,131.9573227792133,135.3877481470225,2212900,221.29,221.29,221.29,221.29,0.0,39.48285714285714
2016-08-12,133.0265655517578,133.85481157754762,132.3528434605434,132.79787314663187,1196500,119.65,119.65,119.65,119.65,0.0,45.550714285714285
2016-08-15,133.34426879882812,133.90484908201043,132.90826085587966,133.51244668548696,1148100,114.81,114.81,114.81,114.81,0.0,45.03785714285714
