Date,Close PLTR,High PLTR,Low PLTR,Open PLTR,Volume PLTR,Close,Open,High,Low,Volume,ATR
2021-08-06,21.81999969482422,22.690000534057617,21.790000915527344,22.639999389648438,24200700,242.007,242.007,242.007,242.007,0.0,37.41992857142857
2021-08-09,22.93000030517578,23.280000686645508,21.799999237060547,21.850000381469727,35611100,356.111,356.111,356.111,356.111,0.0,40.31278571428571
2021-08-10,22.920000076293945,23.520000457763672,22.780000686645508,23.010000228881836,25947900,259.479,259.479,259.479,259.479,0.0,45.41742857142857
2021-08-11,22.350000381469727,23.190000534057617,22.09000015258789,23.06999969482422,34679000,346.79,346.79,346.79,346.79,0.0,49.53364285714286
2021-08-12,24.889999389648438,25.760000228881836,23.584999084472656,24.450000762939453,189287200,1892.872,1892.872,1892.872,1892.872,0.0,159.83635714285717
2021-08-13,24.899999618530273,25.100000381469727,24.309999465942383,25.0,52395100,523.951,523.951,523.951,523.951,0.0,256.62685714285715
2021-08-16,24.5,24.899999618530273,23.770000457763672,24.899999618530273,45907300,459.073,459.073,459.073,459.073,0.0,256.3961428571429
2021-08-17,23.969999313354492,24.59000015258789,23.739999771118164,23.899999618530273,35348300,353.483,353.483,353.483,353.483,0.0,262.51335714285716
2021-08-18,25.280000686645508,25.940000534057617,23.68000030517578,24.06999969482422,92065600,920.656,920.656,920.656,920.656,0.0,298.8439285714286
2021-08-19,24.15999984741211,25.639999389648438,24.139999389648438,25.010000228881836,67605600,676.056,676.056,676.056,676.056,0.0,313.93685714285715
2021-08-20,24.010000228881836,24.479999542236328,23.65999984741211,24.219999313354492,52062300,520.623,520.623,520.623,520.623,0.0,321.12228571428574
2021-08-23,24.81999969482422,24.93000030517578,23.899999618530273,24.020000457763672,35705300,357.053,357.053,357.053,357.053,0.0,329.71099999999996
2021-08-24,25.100000381469727,25.350000381469727,24.760000228881836,25.0,37227400,372.274,372.274,372.274,372.274,0.0,329.72485714285716
2021-08-25,24.350000381469727,25.190000534057617,24.06999969482422,25.1200008392334,54678500,546.785,546.785,546.785,546.785,0.0,340.02007142857144
2021-08-26,24.8700008392334,25.40999984741211,24.360000610351562,24.399999618530273,46179400,461.794,461.794,461.794,461.794,0.0,342.07264285714285
2021-08-27,25.709999084472656,26.09000015258789,24.90999984741211,25.049999237060547,52268500,522.685,522.685,522.685,522.685,0.0,338.27171428571427
2021-08-30,25.760000228881836,26.600000381469727,25.6200008392334,25.739999771118164,44139300,441.393,441.393,441.393,441.393,0.0,337.176
2021-08-31,26.34000015258789,26.360000610351562,25.65999984741211,25.790000915527344,93168600,931.686,931.686,931.686,931.686,0.0,365.96042857142857
2021-09-01,26.200000762939453,26.510000228881836,26.030000686645508,26.459999084472656,34417200,344.172,344.172,344.172,344.172,0.0,297.4912857142857
2021-09-02,26.510000228881836,26.8700008392334,26.09000015258789,26.209999084472656,38460100,384.601,384.601,384.601,384.601,0.0,202.59899999999996
2021-09-03,26.639999389648438,26.75,26.219999313354492,26.489999771118164,26609500,266.095,266.095,266.095,266.095,0.0,206.4295714285714
2021-09-07,26.700000762939453,26.8799991607666,26.270000457763672,26.790000915527344,35835100,358.351,358.351,358.351,358.351,0.0,205.4771428571428
2021-09-08,25.579999923706055,26.610000610351562,24.959999084472656,26.600000381469727,54394400,543.944,543.944,543.944,543.944,0.0,178.22142857142856
2021-09-09,26.1299991607666,26.239999771118164,25.290000915527344,25.389999389648438,34190800,341.908,341.908,341.908,341.908,0.0,175.18114285714287
2021-09-10,26.280000686645508,26.729999542236328,26.170000076293945,26.18000030517578,37307800,373.078,373.078,373.078,373.078,0.0,166.30521428571427
2021-09-13,25.829999923706055,26.23900032043457,25.030000686645508,26.149999618530273,42372300,423.723,423.723,423.723,423.723,0.0,158.2391428571428
2021-09-14,26.260000228881836,26.700000762939453,25.899999618530273,25.969999313354492,34569000,345.69,345.69,345.69,345.69,0.0,162.72571428571428
2021-09-15,27.079999923706055,27.149999618530273,26.030000686645508,26.299999237060547,49555500,495.555,495.555,495.555,495.555,0.0,160.9652857142857
2021-09-16,28.6299991607666,28.790000915527344,27.020000457763672,27.200000762939453,109992000,1099.92,1099.92,1099.92,1099.92,0.0,198.06342857142857
2021-09-17,28.709999084472656,29.290000915527344,28.06999969482422,28.65999984741211,182052600,1820.526,1820.526,1820.526,1820.526,0.0,245.18592857142855
2021-09-20,26.549999237060547,28.100000381469727,26.059999465942383,27.56999969482422,89413500,894.135,894.135,894.135,894.135,0.0,305.5501428571428
2021-09-21,26.6200008392334,27.14900016784668,26.079999923706055,26.889999389648438,50933600,509.336,509.336,509.336,509.336,0.0,298.0148571428571
2021-09-22,27.43000030517578,27.770000457763672,26.582000732421875,26.610000610351562,44308100,443.081,443.081,443.081,443.081,0.0,260.7820714285714
2021-09-23,28.770000457763672,29.190000534057617,27.670000076293945,27.709999084472656,60028600,600.286,600.286,600.286,600.286,0.0,269.12321428571425
2021-09-24,28.559999465942383,28.760000228881836,27.900999069213867,28.270000457763672,40309700,403.097,403.097,403.097,403.097,0.0,274.7434285714285
2021-09-27,27.469999313354492,28.3799991607666,27.229999542236328,28.229999542236328,44102800,441.028,441.028,441.028,441.028,0.0,270.8630714285714
2021-09-28,25.34000015258789,27.1299991607666,25.209999084472656,27.020000457763672,64206200,642.062,642.062,642.062,642.062,0.0,271.966
2021-09-29,24.520000457763672,25.700000762939453,24.420000076293945,25.610000610351562,46164500,461.645,461.645,461.645,461.645,0.0,270.4217857142857
2021-09-30,24.040000915527344,25.049999237060547,23.8799991607666,24.690000534057617,59505600,595.056,595.056,595.056,595.056,0.0,277.72471428571424
2021-10-01,24.329999923706055,24.360000610351562,23.719999313354492,24.209999084472656,32778000,327.78,327.78,327.78,327.78,0.0,293.19835714285716
2021-10-04,23.170000076293945,24.049999237060547,23.020000457763672,24.010000228881836,46789700,467.897,467.897,467.897,467.897,0.0,297.6329285714286
