Date,Close NVDA,High NVDA,Low NVDA,Open NVDA,Volume NVDA,Close,Open,High,Low,Volume,ATR
2022-04-25,19.868011474609375,19.91093730735493,19.063388217942997,19.169206184098144,641566000,641.566,641.566,641.566,641.566,0.0,82.6012857142857
2022-04-26,18.75591468811035,19.754206926852167,18.638116173473357,19.684326774794854,653143000,653.143,653.143,653.143,653.143,0.0,80.60714285714282
2022-04-27,18.38355255126953,19.134267220532678,18.258766021013585,18.566238691083928,499460000,499.46,499.46,499.46,499.46,0.0,72.49749999999996
2022-04-28,19.748218536376953,20.002784147792735,18.458425023872113,18.934609751166647,570327000,570.327,570.327,570.327,570.327,0.0,67.14221428571425
2022-04-29,18.51532745361328,20.093626894168178,18.485378000301736,19.368866880032883,500435000,500.435,500.435,500.435,500.435,0.0,69.76228571428568
2022-05-02,19.49964714050293,19.54057559196452,18.359596978011314,18.509340462928446,572049000,572.049,572.049,572.049,572.049,0.0,71.27571428571424
2022-05-03,19.568523406982422,19.79114404991853,19.100324492263415,19.366868713389604,475751000,475.751,475.751,475.751,475.751,0.0,71.93621428571424
2022-05-04,20.29927635192871,20.36516363203167,18.718979373432905,19.88897889531669,648855000,648.855,648.855,648.855,648.855,0.0,73.92114285714281
2022-05-05,18.811819076538086,19.890972377380162,18.468406678635336,19.833072767192327,626331000,626.331,626.331,626.331,626.331,0.0,71.80471428571424
2022-05-06,18.643108367919922,19.478678935531164,17.959278659901084,18.704005022182386,633297000,633.297,633.297,633.297,633.297,0.0,69.20257142857139
2022-05-09,16.921056747436523,18.22382671504787,16.79826568688899,18.00320533103129,644455000,644.455,644.455,644.455,644.455,0.0,69.07671428571425
2022-05-10,17.56494903564453,18.16691981931421,16.99592283611969,17.658788357133947,761474000,761.474,761.474,761.474,761.474,0.0,74.30614285714282
2022-05-11,16.601598739624023,17.722681996660068,16.539706252039686,17.31737521925075,670167000,670.167,670.167,670.167,670.167,0.0,67.45414285714283
2022-05-12,16.147377014160156,16.75933105562915,15.540416452473458,16.191302499421468,708728000,708.728,708.728,708.728,708.728,0.0,67.95878571428567
2022-05-13,17.675762176513672,17.89738318066595,16.564663924099527,16.759330610645957,670437000,670.437,670.437,670.437,670.437,0.0,69.49007142857138
2022-05-16,17.23451805114746,17.75762337919923,17.07678882882922,17.479100500246304,521446000,521.446,521.446,521.446,521.446,0.0,79.30535714285709
2022-05-17,18.145957946777344,18.339626883509194,17.60388599597196,18.043133207106575,585830000,585.83,585.83,585.83,585.83,0.0,72.92685714285709
2022-05-18,16.909074783325195,18.087060007561064,16.835201746851723,17.67476517907851,545161000,545.161,545.161,545.161,545.161,0.0,70.76985714285709
2022-05-19,17.094755172729492,17.65679337398476,16.705419942914983,16.908074268152976,621310000,621.31,621.31,621.31,621.31,0.0,71.21678571428566
2022-05-20,16.665491104125977,17.38026796074348,15.7280945497096,17.302402048560108,739105000,739.105,739.105,739.105,739.105,0.0,74.51542857142853
2022-05-23,16.869144439697266,16.886115607263786,16.151372394439942,16.24620947993144,639889000,639.889,639.889,639.889,639.889,0.0,74.72385714285711
2022-05-24,16.126413345336914,16.568657631861445,15.753052424141993,16.48180630730602,588550000,588.55,588.55,588.55,588.55,0.0,66.02635714285711
2022-05-25,16.946014404296875,17.08178185508358,15.97267890283691,15.992645208447465,781132000,781.132,781.132,781.132,781.132,0.0,78.1733571428571
2022-05-26,17.820514678955078,18.06110233287457,15.994637692580088,16.00861372306428,996575000,996.575,996.575,996.575,996.575,0.0,93.0645714285714
2022-05-27,18.778881072998047,18.848761243465894,18.06909466250407,18.154948259403927,738379000,738.379,738.379,738.379,738.379,0.0,110.71014285714283
2022-05-31,18.64011573791504,19.16721397954568,18.31866509689285,18.947588442805205,664100000,664.1,664.1,664.1,664.1,0.0,107.65728571428568
2022-06-01,18.288713455200195,19.020461466016048,18.09105163821,18.692024752314552,544514000,544.514,544.514,544.514,544.514,0.0,109.67721428571426
2022-06-02,19.558542251586914,19.585496570829648,18.166923651785705,18.26076299307135,648656000,648.656,648.656,648.656,648.656,0.0,114.3615714285714
2022-06-03,18.688032150268555,19.29898848654268,18.4903703102041,19.049415398458525,598779000,598.779,598.779,598.779,598.779,0.0,115.18914285714284
2022-06-06,18.75391387939453,19.303973396798668,18.53229292091064,19.10631161523933,422406000,422.406,422.406,422.406,422.406,0.0,117.14499999999997
2022-06-07,18.893680572509766,18.967553608275995,18.156939990406823,18.440455398286808,388914000,388.914,388.914,388.914,388.914,0.0,114.93842857142853
2022-06-08,18.62009048461914,19.151293835413707,18.50725874187541,18.77086355538955,363252000,363.252,363.252,363.252,363.252,0.0,113.86649999999996
2022-06-09,18.02098846435547,18.9046641413827,18.013998971506,18.453340970679225,395574000,395.574,395.574,395.574,395.574,0.0,110.73599999999998
2022-06-10,16.948596954345703,17.670514456691603,16.843752654177802,17.573659508927918,465248000,465.248,465.248,465.248,465.248,0.0,107.29878571428569
2022-06-13,15.623581886291504,16.28758656135301,15.582642884178728,15.976053248755155,604153000,604.153,604.153,604.153,604.153,0.0,110.13371428571425
